vintage,building_type,size,climate,care,lca,lshp,customer_count
2040,res_unknown,allSize,marine,Care,Humboldt,FlatCool+AllDay,4699
2040,res_unknown,allSize,marine,Care,Humboldt,LateEve+NitePeak,3757
2040,res_unknown,allSize,marine,Care,Humboldt,MrnEve,4412
2040,res_unknown,allSize,marine,Care,NoLCA,allLshp,54039
2040,res_unknown,allSize,marine,Care,North,allLshp,100481
2040,res_unknown,allSize,marine,nonCare,Bay,AllDay,60155
2040,res_unknown,allSize,marine,nonCare,Bay,DayEve,187794
2040,res_unknown,allSize,marine,nonCare,Bay,EarlyEve,517034
2040,res_unknown,allSize,marine,nonCare,Bay,Flat,112869
2040,res_unknown,allSize,marine,nonCare,Bay,FlatCool,266179
2040,res_unknown,allSize,marine,nonCare,Bay,LateEve,385922
2040,res_unknown,allSize,marine,nonCare,Bay,MrnEve,401310
2040,res_unknown,allSize,marine,nonCare,Bay,NiteFlat,95698
2040,res_unknown,allSize,marine,nonCare,Bay,NitePeak,88601
2040,res_unknown,allSize,marine,nonCare,Humboldt,allLshp,50602
2040,res_unknown,allSize,marine,nonCare,NoLCA,AllDay,7837
2040,res_unknown,allSize,marine,nonCare,NoLCA,DayEve,23394
2040,res_unknown,allSize,marine,nonCare,NoLCA,EarlyEve,34394
2040,res_unknown,allSize,marine,nonCare,NoLCA,Flat,14659
2040,res_unknown,allSize,marine,nonCare,NoLCA,FlatCool,24391
2040,res_unknown,allSize,marine,nonCare,NoLCA,LateEve,25088
2040,res_unknown,allSize,marine,nonCare,NoLCA,MrnEve,53971
2040,res_unknown,allSize,marine,nonCare,NoLCA,NiteFlat,5850
2040,res_unknown,allSize,marine,nonCare,NoLCA,NitePeak,4506
2040,res_unknown,allSize,marine,nonCare,North,AllDay,22011
2040,res_unknown,allSize,marine,nonCare,North,DayEve,40941
2040,res_unknown,allSize,marine,nonCare,North,EarlyEve,109600
2040,res_unknown,allSize,marine,nonCare,North,Flat,21998
2040,res_unknown,allSize,marine,nonCare,North,FlatCool,54964
2040,res_unknown,allSize,marine,nonCare,North,LateEve,54741
2040,res_unknown,allSize,marine,nonCare,North,MrnEve,87120
2040,res_unknown,allSize,marine,nonCare,North,NiteFlat,11936
2040,res_unknown,allSize,marine,nonCare,North,NitePeak,9955
2050,master_mtr,allSize,hot_dry,allCare,allLca,allLshp,4876
2050,master_mtr,allSize,marine,Care,allLca,allLshp,1140
2050,master_mtr,allSize,marine,nonCare,allLca,allLshp,17604
2050,res_unknown,allSize,hot_dry,Care,Bay,allLshp,86145
2050,res_unknown,allSize,hot_dry,Care,Fresno,AllDay,16860
2050,res_unknown,allSize,hot_dry,Care,Fresno,DayEve,58094
2050,res_unknown,allSize,hot_dry,Care,Fresno,EarlyEve,97772
2050,res_unknown,allSize,hot_dry,Care,Fresno,Flat,2938
2050,res_unknown,allSize,hot_dry,Care,Fresno,FlatCool,21193
2050,res_unknown,allSize,hot_dry,Care,Fresno,LateEve,71522
2050,res_unknown,allSize,hot_dry,Care,Fresno,MrnEve,24213
2050,res_unknown,allSize,hot_dry,Care,Fresno,NiteFlat,1962
2050,res_unknown,allSize,hot_dry,Care,Fresno,NitePeak,3374
2050,res_unknown,allSize,hot_dry,Care,Kern,allLshp,93103
2050,res_unknown,allSize,hot_dry,Care,NoLCA,AllDay,7696
2050,res_unknown,allSize,hot_dry,Care,NoLCA,DayEve,41052
2050,res_unknown,allSize,hot_dry,Care,NoLCA,EarlyEve,64169
2050,res_unknown,allSize,hot_dry,Care,NoLCA,FlatCool,25050
2050,res_unknown,allSize,hot_dry,Care,NoLCA,LateEve,43996
2050,res_unknown,allSize,hot_dry,Care,NoLCA,MrnEve,18687
