vintage,building_type,size,climate,care,lca,lshp,kwh_bin,customer_count,pv_penetration,per_customer_gross_kwh,per_customer_net_kwh,per_pv_adopter_kwh
2025,res_unknown,allSize,hot_dry,nonCare,Kern,NiteFlat+Flat,60_80pct,1517,0.0,1673.5,1673.5,
2025,res_unknown,allSize,hot_dry,nonCare,Kern,NiteFlat+Flat,80_100pct,1561,0.0,7706.4,7706.4,
2025,res_unknown,allSize,hot_dry,nonCare,Kern,NitePeak,0_100pct,939,0.3902,11531.2,7876.2,9365.9
2025,res_unknown,allSize,hot_dry,nonCare,NoLCA,AllDay,0_50pct,9334,1.0,10181.3,-9768.8,19950.1
2025,res_unknown,allSize,hot_dry,nonCare,NoLCA,AllDay,50_100pct,15693,1.0,13669.6,1438.7,12230.9
2025,res_unknown,allSize,hot_dry,nonCare,NoLCA,DayEve,0_20pct,6462,1.0,11211.8,-9735.5,20947.3
2025,res_unknown,allSize,hot_dry,nonCare,NoLCA,DayEve,20_40pct,9067,0.8959,8440.9,-711.6,10216.5
2025,res_unknown,allSize,hot_dry,nonCare,NoLCA,DayEve,40_60pct,9139,0.1181,7175.7,6111.8,9007.2
2025,res_unknown,allSize,hot_dry,nonCare,NoLCA,DayEve,60_80pct,9048,0.1733,10376.1,8433.7,11211.7
2025,res_unknown,allSize,hot_dry,nonCare,NoLCA,DayEve,80_100pct,9187,0.1305,15610.1,13807.0,13813.1
2025,res_unknown,allSize,hot_dry,nonCare,NoLCA,EarlyEve,0_20pct,12514,1.0,5978.4,-5246.4,11224.8
2025,res_unknown,allSize,hot_dry,nonCare,NoLCA,EarlyEve,20_40pct,17986,0.4807,4881.9,1053.0,7965.7
2025,res_unknown,allSize,hot_dry,nonCare,NoLCA,EarlyEve,40_60pct,18051,0.1525,5726.9,4703.8,6706.3
2025,res_unknown,allSize,hot_dry,nonCare,NoLCA,EarlyEve,60_80pct,17679,0.0859,7667.5,6946.1,8397.7
2025,res_unknown,allSize,hot_dry,nonCare,NoLCA,EarlyEve,80_100pct,17536,0.062,11065.1,10727.7,5445.4
